SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2386 Dolphin Ave,Jacksonville,FL,32218,237000,4,2.0,Highlands,1490,,1959,51,159,,Active,,,https://www.redfin.com/FL/Jacksonville/2386-Dolphin-Ave-32218/home/62412148,NEFLMLS,1157203,N,Y,30.4253817,-81.6835206
MLS Listing,,Single Family Residential,8232 Frost St North,Jacksonville,FL,32221,259000,3,2.0,Heritage South,1483,,1972,52,175,,Active,,,https://www.redfin.com/FL/Jacksonville/8232-Frost-St-N-32221/home/108818632,NEFLMLS,1157126,N,Y,30.3085416,-81.7865411
MLS Listing,,Single Family Residential,11712 Jocelyn Rd,Jacksonville,FL,32225,348000,3,2.0,Beacon Hills Harbor,1350,,1962,61,258,,Active,,,https://www.redfin.com/FL/Jacksonville/11712-Jocelyn-Rd-32225/home/62418290,NEFLMLS,1156910,N,Y,30.3800299,-81.507993
MLS Listing,,Single Family Residential,8140 Coralberry Ln,Jacksonville,FL,32244,236000,2,2.0,Argyle Forest East Village,1168,,1983,61,202,,Active,,,https://www.redfin.com/FL/Jacksonville/8140-Coralberry-Ln-W-32244/home/72822719,NEFLMLS,1156884,N,Y,30.1991829,-81.759197
MLS Listing,,Single Family Residential,1364 Evergreen Ave,Jacksonville,FL,32206,199000,4,2.0,02019 Campbells Addn To Ja,,,1907,62,,,Active,,,https://www.redfin.com/FL/Jacksonville/1364-Evergreen-Ave-32206/home/72755289,MARMLS,A11169213,N,Y,30.3397522,-81.6432935
MLS Listing,,Single Family Residential,7324 Greenway Dr,Jacksonville,FL,32244,256000,3,2.0,Ortega Hills,1446,,1955,52,177,,Active,,,https://www.redfin.com/FL/Jacksonville/7324-Greenway-Dr-32244/unit-600/home/58726283,NEFLMLS,1156698,N,Y,30.2154696,-81.7080277
MLS Listing,,Single Family Residential,7432 La Ventura Dr South,Jacksonville,FL,32210,245000,4,2.0,English Estates,1254,,1984,62,195,,Active,,,https://www.redfin.com/FL/Jacksonville/7432-La-Ventura-Dr-E-32210/home/72133993,NEFLMLS,1156694,N,Y,30.249127,-81.7697002
MLS Listing,,Single Family Residential,15254 Landmark Cir South,Jacksonville,FL,32226,349990,3,2.0,The Cape,1554,,1985,7,225,3,Active,,,https://www.redfin.com/FL/Jacksonville/15254-Landmark-Cir-S-32226/home/108837941,NEFLMLS,1154867,N,Y,30.5156038,-81.5742738
MLS Listing,,Single Family Residential,3470 Drum St,Jacksonville,FL,32207,274900,3,2.0,Rodney,1444,,1952,59,190,,Active,,,https://www.redfin.com/FL/Jacksonville/3470-Drum-St-32207/home/108899124,NEFLMLS,1155714,N,Y,30.2888124,-81.6293881
MLS Listing,,Single Family Residential,2170 Spring Park Rd,Jacksonville,FL,32207,275000,3,2.0,Waltons Addn,1391,,1952,70,198,,Active,,,https://www.redfin.com/FL/Jacksonville/2170-Spring-Park-Rd-32207/home/108836417,NEFLMLS,1155262,N,Y,30.3029543,-81.6350814
MLS Listing,,Single Family Residential,5635 Atlee Ave,Jacksonville,FL,32205,240000,5,2.0,Buenos Aires,1694,,1973,57,142,,Active,,,https://www.redfin.com/FL/Jacksonville/5635-Atlee-Ave-32205/home/72735821,NEFLMLS,1155187,N,Y,30.3129087,-81.7444099
MLS Listing,,Single Family Residential,7781 Lenox Ave,Jacksonville,FL,32221,248000,4,2.0,Lackawanna,1452,,1930,71,171,,Active,,,https://www.redfin.com/FL/Jacksonville/7781-Lenox-Ave-32221/home/108818720,NEFLMLS,1154993,N,Y,30.3005548,-81.7769291
MLS Listing,,Single Family Residential,1546 West 36th St,Jacksonville,FL,32209,198000,6,2.0,R Hutchinson Grant,1456,,1926,45,136,,Active,,,https://www.redfin.com/FL/Jacksonville/1546-W-36th-St-32209/home/62443013,NEFLMLS,1154777,N,Y,30.3667988,-81.681724
MLS Listing,,Single Family Residential,8165 Newport Rd,Jacksonville,FL,32244,265000,4,2.0,Oak Hill,1830,,1968,60,145,,Active,,,https://www.redfin.com/FL/Jacksonville/8165-Newport-Rd-32244/home/72746074,NEFLMLS,1154714,N,Y,30.2423497,-81.7850033
MLS Listing,,Single Family Residential,12170 Cap Ferrat St,Jacksonville,FL,32224,289000,3,2.0,Sans Pareil,1000,,1990,68,289,,Active,,,https://www.redfin.com/FL/Jacksonville/12170-Cap-Ferrat-St-32224/home/108865824,NEFLMLS,1154071,N,Y,30.2839535,-81.496694
MLS Listing,,Single Family Residential,2591 Hiland St,Jacksonville,FL,32204,229900,4,2.0,Frazees N Riverside,1306,,1938,40,176,,Active,,,https://www.redfin.com/FL/Jacksonville/2591-Hiland-St-32204/home/72734644,NEFLMLS,1154668,N,Y,30.3256637,-81.6937436
